FB Meta Platforms; 11/12/2021; 340.89 341.86 329.78 13.15 25341911 384.33 244.61
JPM JPMorgan Chase; 11/12/2021; 166.86 167.74 165.72 -0.75 8099598 172.96 113.56
ABT Abbott Laboratories; 11/12/2021; 128.45 128.85 127.12 1.2 6456676 129.7 105.32
GOOGL Alphabet; 11/12/2021; 2992.91 2997 2929.08 57.95 846613 3020.69 1699
BA Boeing; 11/12/2021; 220.96 223.75 218.9 1.58 6410596 278.57 178.71
AAPL Apple; 11/12/2021; 149.99 150.4 147.48 2.12 63635596 157.26 112.59
GOOGL Alphabet; 11/23/2021; 2910.20 2933.20 2882.30 -15.84 898594 3019.33 1694.00
TSLA Tesla Inc; 11/23/2021; 1088.68 1180.50 1062.70 -69.97 29102593 1243.49 526.20
INTC Intel Corporation; 11/23/2021; 50.45 48.92 50.18 -0.75 23424459 68.49 45.24
JPM JPMorgan Chase; 11/23/2021; 168.20 168.42 165.37 3.86 8126511 172.96 117.77
ABT Abbott Laboratories; 11/23/2021; 123.89 124.88 123.23 -1.39 2699653 131.60 105.32
BA Boeing; 11/23/2021; 208.64 212.96 207.77 -1.30 6220517 278.57 191.85
AAPL Apple; 11/23/2021; 160.82 161.80 159.07 -0.26 73733976 165.70 112.59
FB Meta Platforms; 11/23/2021; 337.76 341.39 333.50 -3.27 12967480 384.33 244.61
NFLX Netflix; 11/23/2021; 653.76 666.43 646.17 -5.54 1663984 700.99 475.89
AMZN Amazon; 11/23/2021; 3568.40 3621.05 3527.71 -4.16 2770144 3773.08 2881.00
V Visa; 11/23/2021; 198.40 198.92 194.38 +2.81 11508579 252.67 192.81
AMC AMC Entertainment; 11/23/2021; 39.08 42.02 38.08 -2.06 23097766 72.62 1.91
GME GameStop; 11/23/2021; 216.50 252.17 213.34 -31.05 2980030 483.00 12.14
BB BlackBerry; 11/23/2021; 10.04 10.33 9.91 -0.05 4415249 28.77 5.64
CLOV Clover Health; 11/23/2021; 5.22 5.51 5.15 -0.21 18306360 28.85 5.15
PLTR Palantir; 11/23/2021; 20.47 21.05 20.05 -0.16 35974640 45.00 17.06
ABNB Airbnb; 11/23/2021; 179.01 183.73 175.25 -2.67 5072777 219.94 121.50
ZM Zoom Video; 11/23/2021; 204.27 218.50 195.80 -38.05 21067560 486.83 195.80
ROKU Roku; 11/23/2021; 225.63 233.38 223.34 -5.41 2697089 490.76 223.34
SQ Square; 11/23/2021; 210.15 214.66 205.41 -1.15 8153689 289.23 191.36
PYPL PayPal; 11/23/2021; 188.09 190.79 185.20 -1.38 15049249 310.16 184.27
NVDA Nvidia; 11/23/2021; 317.55 323.60 308.80 -1.82 45244542 346.47 115.67
AMD Advanced Micro Devices; 11/23/2021; 149.59 152.66 145.30 -2.93 54297449 161.88 72.50
CMG Chipotle Mexican Grill; 11/23/2021; 1685.62 1730.00 1671.50 -35.62 264933 1958.55 1256.27
SBUX Starbucks; 11/23/2021; 113.43 114.11 111.80 +1.99 5670681 126.32 95.92
NKE Nike; 11/23/2021; 172.19 173.43 170.43 -2.14 3343137 179.10 125.44
